JUPAS Code,Institution,Name (EN),Name (ZH),Formula 2025,Weights 2025 (Raw),Min Chi,Min Eng,Min Math,Min CSD,2025 Median,2025 LQ,2025 UQ
JS1053,CityUHK,"BSc Environment and Sustainable Business (Features: Environmental Science / Business Sustainability / Environmental, Social & Governance (ESG))",理學士(環境及可持續發展商業) [特點：環境科學 / 商業可持續發展 / 環境、社會和管治],"Best 5 subjects (include English, Mathematics and one subject from Biology, Chemistry or Physics)","English Language (x2.0), Mathematics (Compulsory Part) (x2.5), Biology (x1.5), Chemistry (x1.5), Physics (x1.5), Geography (x1.5), M1 (Calculus and Statistics) (x1.5), M2 (Algebra and Calculus) (x1.5), Business, Accounting and Financial Studies (x2.5), Business, Accounting and Financial Studies (Accounting) (x2.5), Business, Accounting and Financial Studies (Business Management) (x2.5), Economics (x2.5)",3,3,3,A,40.0,39.5,
JS1062,CityUHK,Bachelor of Laws and BBA Accountancy (Double Degree),法律學學士與工商管理學士(會計) (雙學位),Best 5 subjects (include English),English Language (x1.5),3,5,3,A,29.0,25.0,
JS1013,CityUHK,BBA Business Economics (Features: Economic Theory / International Economics / Economic and Business Forecasting / Quantitative Analysis),工商管理學士(商業經濟) (特點: 經濟理論 / 國際經濟 / 經濟與商業預測 / 定量分析),Best 5 subjects (include Mathematics),,3,3,3,A,22.0,21.5,
JS1014,CityUHK,BBA Finance (Features: Investment Analysis / Financial Markets / Corporate Finance / Risk Management / Trading Room Workshop),工商管理學士(金融) (特點: 投資分析 / 金融市場 / 公司金融/ 風險管理 / 交易室工作坊),Best 5 subjects (include Mathematics),,3,3,3,A,21.5,21.5,
JS1221,CityUHK,BSc Computer Science and BSc Computational Finance and Financial Technology(Double Degree;Features:Corporate Accounting & Economics/Computational Finance/Advanced Statistics/Financial Technologies),理學士（計算機科學）與理學士（計算金融及金融科技）(雙學位；特點：企業會計與經濟 / 計算金融 / 高階統計 / 建模與演算法 / 金融科技軟件工程),Best 5 subjects,,3,3,4,A,23.0,22.0,
JS1070,CityUHK,"AI, Computing and Transformation (ACT) (Features: Free Choice of Major / One-to-One Advisor / Elite Work Placement / Executive Mentor Scheme / Premium Overseas Exchange / Internship Exchange)",人工智能 ･ 計算 ･ 突破課程(特點: 自由選擇學院專業學科 / 一對一專業導師 / 精英學生實習培訓 / 專業導師指導計劃 / 頂尖海外大學交流),3 core + 2 elective subjects,"English Language (x2.0), Mathematics (Compulsory Part) (x2.0)",3,3,3,A,31.0,30.0,
JS1071,CityUHK,Data Science (Majors: BSc Data Science / BSc Data and Systems Engineering),數據科學 [主修：理學士 (數據科學) / 理學士 (數據與系統工程)],3 core + 2 elective subjects,"Mathematics (Compulsory Part) (x2.0), English Language (x1.5)",3,3,3,A,27.5,27.5,
JS1072,CityUHK,BSc Data Science (Features: Data Science / Machine Learning / Data Mining / Big Data Analysis),理學士(數據科學) (特點: 數據科學 / 機器學習 / 數據挖掘 / 大數據分析),3 core + 2 elective subjects,"Mathematics (Compulsory Part) (x2.0), English Language (x1.5)",3,3,3,A,29.0,28.5,
JS1074,CityUHK,BSc Data and Systems Engineering (Features: Data Science / FinTech & Decision Analytics / Industrial AI / Smart City),理學士(數據與系統工程) (特點: 數據科學 / 金融科技 / 工業人工智能 / 智慧城市),3 core + 2 elective subjects,"Mathematics (Compulsory Part) (x2.0), English Language (x1.5)",3,3,3,A,28.0,27.5,
JS1204,CityUHK,BSc Computer Science (Streams: Artificial Intelligence / Cybersecurity / Data Science / Multimedia Computing / Software Engineering and Project Management),理學士(計算機科學) (專修: 人工智能 / 網絡安全 / 數據科學 / 多媒體計算 / 軟件工程與項目管理),Best 5 subjects,,3,3,3,A,23.0,22.0,
JS1218,CityUHK,BSc Cybersecurity (Features: System Security / Software Security / Cryptography / Privacy-Enhancing Technologies / Cyber Risk Management),理學士 (網絡安全) (特點: 系統安全 / 軟件安全 / 密碼學 / 隱私增強技術 / 網絡風險管理),Best 5 subjects,,3,3,3,A,20.5,20.5,
JS1201,CityUHK,Architecture and Civil Engineering (Majors: BEng Architectural Engineering / BEng Civil Engineering / BSc Architecture and Surveying),建築學及土木工程學 [主修:工學士(建築工程) / 工學士(土木工程) / 理學士(建築學及測量學)],Best 5 subjects (include English),"Chinese Language (x1.5), English Language (x2.5), Mathematics (Compulsory Part) (x2.5), M1 (Calculus and Statistics) (x2.5), M2 (Algebra and Calculus) (x2.5), Physics (x2.5)",3,3,3,A,43.5,42.5,
JS1205,CityUHK,Electrical Engineering (Majors: BEng Computer and Data Engineering / BEng Electronic and Electrical Engineering / BEng Information Engineering / BEng Microelectronics Engineering),電機工程學 [主修: 工學士(電子計算機及數據工程學) ／工學士(電子及電機工程學) ／ 工學士(資訊工程學) ／ 工學士(微電子工程學)],Best 5 subjects (include English and Mathematics),"English Language (x2.0), Mathematics (Compulsory Part) (x2.0), Biology (x1.5), Chemistry (x1.5), Information and Communication Technology (x2.0), M1 (Calculus and Statistics) (x2.0), M2 (Algebra and Calculus) (x2.0), Physics (x2.0)",3,3,3,A,39.0,37.0,
JS1207,CityUHK,Mechanical Engineering (Majors: BEng Aerospace Engineering / BEng Mechanical Engineering / BEng Nuclear and Risk Engineering),機械工程學 [主修: 工學士(航空航天工程) / 工學士(機械工程) / 工學士(核子及風險工程)],Best 5 subjects (include Mathematics),"English Language (x2.0), Mathematics (Compulsory Part) (x2.0), Physics (x2.0), Chemistry (x1.5), Design and Applied Technology (x1.5), M1 (Calculus and Statistics) (x1.5), M2 (Algebra and Calculus) (x1.5)",3,3,2,A,34.5,34.0,
JS1210,CityUHK,BEng Materials Science and Engineering (Features: HKIE Accredited / Industrial and Research Internships / Overseas Double-degrees / Knowledge Transfer / World-leading Research),工學士(材料科學及工程) (特點: 香港工程師學會認可 / 工業和科研實習 / 海外雙學位課程 / 知識到應用遷移 / 世界領先的研究),Best 5 subjects (include Mathematics),"Mathematics (Compulsory Part) (x2.0), Physics (x2.0), English Language (x1.5), Biology (x1.5), Chemistry (x1.5), M2 (Algebra and Calculus) (x1.5), M1 (Calculus and Statistics) (x1.5)",3,3,2,A,34.0,32.5,
JS1216,CityUHK,BEng Intelligent Manufacturing Engineering (Features: Industrial Internet-of-Things / Industrial Big Data / Robotics and Automation / Logistics and Supply Chain / Smart City Engineering),工學士(智能製造工程學) (特點: 物聯網 / 工業大數據 / 機器人技術與自動化 / 物流與供應鏈 / 智慧城市工程),Best 5 subjects (include English and Mathematics),,3,3,2,A,20.0,18.0,
JS1217,CityUHK,"Pathway for Research, Innovation, and Multinational Engineering (PRIME) (any major in College of Engineering + Overseas Experience / Interdisciplinary / Entrepreneurial Training)",研究、創新和環球工程課程 (特點: 工學院任何一個主修 十 海外經驗 / 跨學科 / 創業培訓),Best 5 subjects (include English),"English Language (x2.0), Mathematics (Compulsory Part) (x2.0), Biology (x2.0), Chemistry (x2.0), Design and Applied Technology (x2.0), Information and Communication Technology (x2.0), M1 (Calculus and Statistics) (x2.0), M2 (Algebra and Calculus) (x2.0), Physics (x2.0)",3,3,3,A,38.5,38.0,
JS1219,CityUHK,BEng Innovation and Enterprise Engineering (Features: Engineering / Technology / Innovation / Enterprise / Entrepreneurship),工學士(創新與企業工程) (特點: 工程學 / 科技 / 創新 / 企業 / 創業),Best 5 subjects (include English and Mathematics),,3,3,2,A,19.5,18.5,
JS1102,CityUHK,BSocSc International Relations and Global Affairs (Streams: Asian Studies / International Studies / Development Studies),社會科學學士(國際關係及全球事務) (專修: 亞洲研究 / 國際研究 / 發展研究),Best 5 subjects (include English),English Language (x1.5),3,3,2,A,24.0,23.5,
JS1103,CityUHK,BA Chinese and History (Streams: Chinese / History and Cultural Heritage),文學士(中文及歷史) (專修: 中文 / 歷史及文化遺產),3 core + 2 elective subjects,"Chinese Language (x2.0), English Language (x2.0), Chinese History (x1.5), Chinese Literature (x1.5), History (x1.5), Visual Arts (x1.5)",3,3,2,A,36.0,35.5,
JS1104,CityUHK,BA English (Streams: English and Professional Communication / Language and Literature),文學士(英語語言) (專修: 英語及專業傳意 / 語言及文學),Best 5 subjects (include English),"English Language (x2.5), Literature in English (x1.5)",3,3,2,A,32.0,29.5,
JS1106,CityUHK,Media and Communication (Majors: BA Digital Television and Broadcasting / BA Media and Communication),媒體與傳播 [主修: 文學士(數碼電視與廣播) / 文學士(媒體與傳播)],Best 4 subjects (include English),"Chinese Language (x1.25), English Language (x1.25)",3,3,2,A,20.5,20.0,
JS1108,CityUHK,BSocSc Public Affairs and Management (Streams: Public Affairs and Governance / Public Policy and Management),社會科學學士(公共事務與管理) (專修: 公共事務與管治 / 公共政策與管理),3 core + 2 elective subjects,English Language (x1.5),3,3,2,A,23.5,23.0,
JS1109,CityUHK,BA Linguistics and Language Applications (Features: General Linguistics / Computational Linguistics / Corpus Linguistics / Experimental Linguistics / Language Technology and Applications),文學士(語言學及語言應用) (特點: 普通語言學 / 計算語言學 / 語料庫語言學 / 實驗語言學 / 語言技術及應用),3 core + 2 elective subjects,"English Language (x2.0), Chinese Language (x1.5), Mathematics (Compulsory Part) (x1.5)",3,3,2,A,30.0,29.5,
JS1111,CityUHK,BSocSc Crime Science (Features: Crime Prevention / Security Practice / Global Policing / Crime Analytics / Cyber and Future Crimes),社會科學學士 (犯罪科學) (特點: 犯罪預防 / 安保實務 / 全球警政 / 犯罪分析 / 科網與未來犯罪),Best 4 subjects (include English),English Language (x2.0),3,3,2,A,23.0,23.0,
JS1112,CityUHK,BSocSc Psychology (Streams: Health and Development / Mind and Brain),社會科學學士(心理學) (專修: 健康與人類發展 / 大腦與認知),Best 4 subjects (include English),English Language (x2.0),3,3,2,A,24.5,24.0,
JS1113,CityUHK,BSocSc Social Work (Features: Social Engagement and Concern for People’s Health and Well-Being / Human Diversities and Sustainability / People-in-Environment Interventions),社會科學學士(社會工作) (特點: 社會參與及人文關懷 – 健康與福祉 / 社會多元與持續 / 人在環境的專業介入),Best 4 subjects (include English),English Language (x2.0),3,3,2,A,23.0,23.0,
JS1123,CityUHK,BSocSc Crime Science and Bachelor of Laws (Double Degree),社會科學學士(犯罪科學)與法律學學士 (雙學位),Best 5 subjects (include English),,3,5,2,A,24.5,23.0,
JS1200,CityUHK,Global Research Enrichment and Technopreneurship (GREAT) [Majors: BSc Chemistry / BSc Computing Mathematics / BSc Physics + Global Research Enrichment and Technopreneurship (GREAT)],環球精研與科創課程 [主修：理學士 (化學) / 理學士 (計算數學) / 理學士 (物理學) ＋ 環球精研與科創],Best 4 subjects,"English Language (x2.0), Mathematics (Compulsory Part) (x2.0), Chemistry (x2.5), M2 (Algebra and Calculus) (x2.5), Physics (x2.5), Biology (x1.5), Economics (x1.5), M1 (Calculus and Statistics) (x2.0)",3,3,2,A,37.0,36.5,
JS1202,CityUHK,BSc Chemistry (Streams: Comprehensive Chemistry / Cosmetic Chemistry / Forensic Chemistry / Global Research Enrichment and Technopreneurship (GREAT)),理學士(化學) (專修: 綜合化學 / 化妝品化學 / 鑑證化學 / 環球精研與科創),Best 4 subjects,"English Language (x2.0), Chemistry (x2.0), Mathematics (Compulsory Part) (x1.5)",3,3,3,A,27.5,27.0,
JS1206,CityUHK,BSc Computing Mathematics (Streams: Enriched Mathematics / Financial Mathematics / Global Research Enrichment and Technopreneurship (GREAT)),理學士 (計算數學) (專修範疇: 數學精研 / 金融數學 / 環球精研與科創),Best 4 subjects (include Mathematics),"English Language (x2.0), Mathematics (Compulsory Part) (x2.5), M2 (Algebra and Calculus) (x2.0), M1 (Calculus and Statistics) (x2.0), Biology (x1.5), Chemistry (x1.5), Physics (x1.5)",3,3,3,A,37.0,36.0,
JS1208,CityUHK,BSc Physics [Features: Classical Physics/Modern Physics/Experimental and Computational Physics/Medical Physics/Condensed Matter Physics/Global Research Enrichment and Technopreneurship (GREAT)],理學士 (物理學) (特點：經典物理 / 近代物理 / 實驗與電算物理 / 醫學物理 / 凝聚態物理 / 環球精研與科創),Best 4 subjects (include Mathematics),"English Language (x2.0), Physics (x2.0), M2 (Algebra and Calculus) (x1.5), M1 (Calculus and Statistics) (x1.5), Mathematics (Compulsory Part) (x1.25)",3,3,2,A,28.0,27.0,
JS1801,CityUHK,Bachelor of Veterinary Medicine (Features: One Health / Animal Health & Welfare / Public Health / Dual Accreditation),獸醫學學士 (特點: 健康一體化 / 動物健康與福利 / 公共衞生 / 雙認證獸醫課程),"Best 5 subjects (include English, Mathematics, Biology and Chemistry)",,3,5,3,A,33.5,32.0,
